;model_name;config;dropout;train_loss;train_rmse;train_mae;train_mape;valid_loss;valid_rmse;valid_mae;valid_mape;test_rmse;test_mae;test_mape;epochs;batch_train;input_shape;total_time;time_step;splits
26;03_27_l-1_l-10_l-10_d-0.2;{'name': '03_27_l-1_l-10_l-10_d-0.2', 'layers': [{'type': 'lstm', 'cells': 1, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.2;0.9955504065588977;0;0.9056463866157735;0;1.1309256702661514;0;0.9775576984010091;0;0;0;0;3/50;8;(6580, [1], 1);20.303203344345093;0;2004-10-01 00:00:00-04:00
27;03_28_l-5;{'name': '03_28_l-5', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0;0.9927397482210379;0;0.9050527033381911;0;1.1381311987231417;0;0.980806316907813;0;0;0;0;2/50;8;(6580, [1], 1);7.053323745727539;0;2004-10-01 00:00:00-04:00
28;03_29_l-5_d-0.1;{'name': '03_29_l-5_d-0.1', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.1;0.9875947851404593;0;0.9044191349059978;0;1.1402620527802445;0;0.9811503549174565;0;0;0;0;1/50;8;(6580, [1], 1);7.104356288909912;0;2004-10-01 00:00:00-04:00
29;03_30_l-5_d-0.2;{'name': '03_30_l-5_d-0.2', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.2;1.0056849600560398;0;0.908577850796169;0;1.145085559658161;0;0.9824783960130157;0;0;0;0;3/50;8;(6580, [1], 1);7.4416725635528564;0;2004-10-01 00:00:00-04:00
30;03_31_l-5_l-5;{'name': '03_31_l-5_l-5', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0;0.9825951982414106;0;0.9040766589819117;0;1.1423720045060646;0;0.9816465465033927;0;0;0;0;1/50;8;(6580, [1], 1);11.171002864837646;0;2004-10-01 00:00:00-04:00
31;03_32_l-5_l-5_d-0.1;{'name': '03_32_l-5_l-5_d-0.1', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.1;0.9772913789087878;0;0.9022547183246961;0;1.1312520599401579;0;0.9776807701805743;0;0;0;0;1/50;8;(6580, [1], 1);12.12186574935913;0;2004-10-01 00:00:00-04:00
32;03_33_l-5_l-5_d-0.2;{'name': '03_33_l-5_l-5_d-0.2', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.2;0.9966040943214234;0;0.9063617134619629;0;1.1344247084201835;0;0.9797852684448405;0;0;0;0;1/50;8;(6580, [1], 1);12.154895305633545;0;2004-10-01 00:00:00-04:00
33;03_34_l-5_l-10;{'name': '03_34_l-5_l-10', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0;0.980720927718019;0;0.9036094424481812;0;1.1305745792825048;0;0.9778052168648418;0;0;0;0;1/50;8;(6580, [1], 1);11.490302324295044;0;2004-10-01 00:00:00-04:00
34;03_35_l-5_l-10_d-0.1;{'name': '03_35_l-5_l-10_d-0.1', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.1;0.9776988341996735;0;0.9032081461152045;0;1.1312439007366575;0;0.9774792928521226;0;0;0;0;1/50;8;(6580, [1], 1);11.93169617652893;0;2004-10-01 00:00:00-04:00
35;03_36_l-5_l-10_d-0.2;{'name': '03_36_l-5_l-10_d-0.2', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.2;0.9906219293371885;0;0.9035291725197824;0;1.1328855718417865;0;0.9789403746040856;0;0;0;0;2/50;8;(6580, [1], 1);13.630222082138062;0;2004-10-01 00:00:00-04:00
